threshold,num_nodes,num_edges,num_components,size_largest_component,num_triangles,modularity_greedy,modularity_louvain
1e-05,2793,108993,1,2793,2827520.0,0.10972786039822516,0.2346801195919106
2e-05,2930,123112,1,2930,3435436.0,0.11214412517189949,0.2209382167737698
3.0000000000000004e-05,2990,132139,1,2990,3846333.0,0.10993439483021154,0.238158954987893
4e-05,3056,139013,2,3053,4183238.0,0.11048390908322647,0.2284569542257632
5e-05,3105,144220,2,3102,4446430.0,0.10934472878828763,0.22267832485642294
6.000000000000001e-05,3137,148757,2,3134,4685062.0,0.112997145294945,0.21686120591063276
7.000000000000001e-05,3155,152589,2,3152,4894469.0,0.10913702613985256,0.2168720771396305
8e-05,3190,156175,2,3187,5091450.0,0.10551710998098987,0.2294466778272218
9e-05,3205,159290,2,3202,5261578.0,0.10416852303701976,0.2271072216295224
0.0001,3226,162174,2,3223,5426914.0,0.10420516015148931,0.2288929834342172
