threshold,num_nodes,num_edges,num_components,size_largest_component,num_triangles,modularity_greedy
0.0001,253,611,3,248,0.0,0.23608442809900965
0.0002,358,1006,3,352,0.0,0.3020358283601246
0.00030000000000000003,413,1358,4,401,0.0,0.295578836497381
0.0004,457,1585,3,441,0.0,0.3330104998149671
0.0005,482,1750,4,462,0.0,0.37013681865361026
0.0006000000000000001,505,1877,6,481,0.0,0.3748293736901973
0.0007,532,1981,5,521,1.0,0.35947478452472015
0.0008,567,2099,5,553,1.0,0.4022467763245382
0.0009000000000000001,589,2195,4,577,1.0,0.41696448042343665
0.001,614,2309,5,600,2.0,0.4295549730095815
0.0011,630,2408,6,614,2.0,0.42962265698989477
0.0012000000000000001,654,2503,8,631,2.0,0.4450928673360121
0.0013000000000000002,668,2588,10,640,8.0,0.4141584428407038
0.0014,681,2666,10,651,10.0,0.4089081342946134
0.0015,710,2778,12,675,12.0,0.3964970087927385
0.0016,733,2903,12,696,14.0,0.395831764518338
0.0017000000000000001,760,3008,11,726,17.0,0.3878665300421387
0.0018000000000000002,784,3111,12,746,20.0,0.40639431034924633
0.0019,807,3213,11,766,21.0,0.38696896963641425
0.002,834,3321,11,791,23.0,0.3909469706873923
0.0021000000000000003,845,3403,11,802,26.0,0.42312079066835195
0.0022,870,3520,11,826,27.0,0.4217546424247202
0.0023,918,3675,12,869,34.0,0.42598543315250564
0.0024000000000000002,951,3769,12,902,37.0,0.4277255880263908
0.0025,985,3888,12,933,45.0,0.42939910886318783
0.0026000000000000003,1015,4032,11,968,52.0,0.43221868950176395
0.0027,1043,4170,13,990,56.0,0.44787523433522347
0.0028,1066,4289,13,1011,86.0,0.44840664126632607
0.0029000000000000002,1076,4391,12,1023,93.0,0.43460621270182126
0.003,1094,4493,12,1040,108.0,0.43753825241532507
0.0031000000000000003,1110,4596,12,1056,126.0,0.4374979282407555
0.0032,1122,4673,12,1068,130.0,0.43418630215973275
0.0033,1142,4778,11,1090,137.0,0.4329092076452013
0.0034000000000000002,1160,4897,12,1104,144.0,0.43249637429446797
0.0035,1176,4995,12,1119,150.0,0.43090436750575994
0.0036000000000000003,1190,5102,13,1131,170.0,0.42542332254704024
0.0037,1199,5188,13,1140,174.0,0.42764531562367014
0.0038,1214,5269,14,1152,179.0,0.45295299803709405
0.0039000000000000003,1226,5349,13,1164,192.0,0.46397385278907854
0.004,1239,5420,13,1177,196.0,0.4503189137119581
0.0041,1251,5483,14,1185,204.0,0.460069921302706
0.004200000000000001,1262,5549,14,1194,219.0,0.4635961835411908
0.0043,1275,5623,15,1204,231.0,0.4619267324862438
0.0044,1295,5738,15,1222,245.0,0.4660220350496767
0.0045000000000000005,1313,5836,15,1237,267.0,0.4573746047767424
0.0046,1332,5946,15,1255,285.0,0.450481343274733
0.0047,1348,6008,16,1269,301.0,0.45212515645314705
0.0048000000000000004,1357,6056,15,1282,312.0,0.45483707847572763
0.0049,1374,6130,17,1293,322.0,0.45588583349086764
0.005,1384,6201,17,1301,334.0,0.4151283850914069
0.0051,1397,6273,17,1312,354.0,0.4541211053175651
0.005200000000000001,1406,6361,17,1320,368.0,0.44729754381691145
0.0053,1414,6432,15,1342,391.0,0.4692846387549648
0.0054,1424,6516,15,1351,397.0,0.4805622053579126
0.0055000000000000005,1435,6583,15,1361,416.0,0.47566358035816064
0.0056,1449,6675,16,1368,420.0,0.468963436598093
0.0057,1458,6757,16,1375,451.0,0.455085897499673
0.0058000000000000005,1473,6836,19,1383,473.0,0.44980939717483504
0.0059,1483,6888,19,1393,486.0,0.45541389221702516
0.006,1493,6958,19,1402,516.0,0.4381363476218093
0.0061,1502,7010,19,1408,526.0,0.4374200516885295
0.006200000000000001,1510,7072,19,1416,530.0,0.42997899486415736
0.0063,1520,7138,19,1425,560.0,0.42829209629711673
0.0064,1528,7182,19,1431,563.0,0.44027850569277455
0.006500000000000001,1545,7255,19,1443,581.0,0.4326502733119248
0.0066,1557,7334,19,1455,601.0,0.4341707508126547
0.0067,1568,7402,19,1464,629.0,0.4485348602032984
0.0068000000000000005,1576,7467,19,1471,641.0,0.46185168514235964
0.006900000000000001,1586,7542,19,1480,660.0,0.4576317802074002
0.007,1593,7606,19,1484,669.0,0.42436553426261775
0.0071,1598,7655,19,1487,679.0,0.4173395656652226
0.007200000000000001,1603,7709,19,1491,707.0,0.416465857212035
0.0073,1614,7782,19,1497,721.0,0.43085349527794464
0.0074,1624,7833,19,1505,727.0,0.435096169469212
0.007500000000000001,1631,7885,19,1510,735.0,0.43258711616702766
0.0076,1636,7938,20,1512,743.0,0.43279238681788584
0.0077,1650,8037,20,1524,778.0,0.42272243448389396
0.0078000000000000005,1668,8127,21,1536,797.0,0.4348270364134354
0.0079,1673,8178,21,1541,850.0,0.43219093019571564
0.008,1683,8224,20,1571,864.0,0.42202212396605276
0.0081,1692,8283,21,1577,875.0,0.42389376800591955
0.0082,1708,8347,20,1593,904.0,0.44505159881594775
0.0083,1722,8414,21,1604,924.0,0.462312143059496
0.008400000000000001,1735,8496,21,1609,1012.0,0.4773168814987142
0.0085,1746,8586,21,1619,1052.0,0.47352484379194165
0.0086,1758,8664,21,1627,1091.0,0.47137670390480313
0.008700000000000001,1765,8730,19,1653,1142.0,0.474762101961694
0.0088,1770,8774,19,1658,1156.0,0.47332189346116627
0.0089,1781,8837,19,1669,1191.0,0.47417838660097555
0.009000000000000001,1788,8901,19,1676,1213.0,0.47356546900481933
0.0091,1798,8962,18,1688,1244.0,0.47376242700094606
0.0092,1810,9016,19,1698,1287.0,0.47296179819549544
0.009300000000000001,1821,9067,20,1705,1317.0,0.4736119385394394
0.0094,1827,9103,20,1710,1349.0,0.47286020492643804
0.0095,1836,9159,20,1715,1379.0,0.47262273432966
0.009600000000000001,1841,9220,20,1717,1435.0,0.47228468521408723
0.0097,1852,9261,20,1725,1463.0,0.4731085092325453
0.0098,1862,9307,19,1736,1529.0,0.47335023878223953
0.0099,1874,9356,20,1746,1556.0,0.49001016424110005
0.01,1886,9419,20,1753,1600.0,0.480375800316789
0.010100000000000001,1892,9457,20,1757,1610.0,0.4824492050507374
0.0102,1901,9526,21,1762,1694.0,0.4731358276783928
0.0103,1908,9606,21,1767,1817.0,0.4876392358854014
0.010400000000000001,1916,9665,20,1780,1870.0,0.4781927501027397
0.0105,1929,9732,19,1798,1918.0,0.4774863279584445
0.0106,1935,9773,19,1803,1936.0,0.47696215538650844
0.010700000000000001,1941,9825,18,1808,1968.0,0.4784737581267817
0.0108,1946,9880,19,1810,2008.0,0.4790826108520928
0.0109,1951,9923,19,1814,2021.0,0.4791808189118752
0.011000000000000001,1953,9956,19,1816,2040.0,0.480913749051259
0.0111,1963,10016,19,1824,2114.0,0.4813440862293519
