threshold,num_nodes,num_edges,num_components,size_largest_component,num_triangles,modularity_greedy,modularity_louvain
-6.800000000000011,2,1,1,2,0.0,0.0,-0.5
-6.700000000000012,2,1,1,2,0.0,0.0,-0.5
-6.600000000000012,2,1,1,2,0.0,0.0,-0.5
-6.500000000000012,3,2,1,3,0.0,0.0,-0.3750399617034377
-6.400000000000013,3,2,1,3,0.0,0.0,-0.3750399617034377
-6.300000000000013,5,3,2,3,0.0,0.435882691403986,-0.224438585809028
-6.2000000000000135,5,3,2,3,0.0,0.435882691403986,-0.224438585809028
-6.100000000000014,7,5,2,4,0.0,0.4758583073077513,-0.16072264204842507
-6.000000000000014,9,8,2,5,0.0,0.46581385536967157,-0.1264214697525514
-5.900000000000015,12,12,2,7,0.0,0.48430675846021737,-0.10209177632226468
-5.800000000000015,25,30,1,25,0.0,0.5249239450510194,-0.0651530785752297
-5.700000000000015,43,50,4,37,0.0,0.5633157196390742,-0.0541660281725284
-5.600000000000016,52,75,4,44,0.0,0.5178663081737809,-0.04453791549985061
-5.500000000000016,61,104,5,46,0.0,0.4797865896761671,-0.037342150371444456
-5.400000000000016,86,145,10,51,0.0,0.5159327872519544,-0.02916992356399114
-5.300000000000017,127,210,18,62,0.0,0.5557001599538399,-0.02296558806477708
-5.200000000000017,186,305,22,68,0.0,0.6880818119856809,-0.015188782229275619
-5.100000000000017,242,390,27,69,0.0,0.7208175034095667,-0.011958877830724798
-5.000000000000018,316,526,35,72,0.0,0.7729583813590785,-0.009036197778315732
-4.900000000000018,442,768,47,82,0.0,0.831677532941197,-0.006494266744849908
-4.8000000000000185,619,1134,69,89,0.0,0.8721046694332584,-0.004565299038030149
-4.700000000000019,863,1626,95,91,0.0,0.9053468073552765,-0.0033107136714392183
-4.600000000000019,1213,2379,107,101,0.0,0.9257981126236933,-0.0024345017368042755
-4.5000000000000195,1285,2577,110,211,0.0,0.9278816906540122,-0.00231183086853933
