threshold,num_nodes,num_edges,num_components,size_largest_component,num_triangles,modularity_greedy,modularity_louvain
3.5,5674,15115,164,4867,3506.0,0.877141454413279,0.9146178276264778
3.6,4853,11487,200,3795,3315.0,0.9132942552332629,0.9355446569585961
3.7,3878,8174,237,2332,3069.0,0.9432747694292967,0.953381644267838
3.8000000000000003,3029,5852,257,1342,2916.0,0.9546311646303006,0.9627838023199834
3.9000000000000004,2277,4119,248,289,2732.0,0.9640528965101298,0.9685319069945407
4.0,1673,2943,209,135,2458.0,0.965093774871659,0.9658506000853563
4.1000000000000005,1276,2217,177,110,2234.0,0.9611885318643313,0.9612310644676686
4.200000000000001,982,1689,140,50,2080.0,0.9503661243983076,0.9503661243983074
4.300000000000001,744,1308,110,49,1953.0,0.931110189949795,0.931110189949795
4.4,527,992,90,25,1773.0,0.9037205029611216,0.9037205029611223
4.500000000000001,409,814,71,25,1611.0,0.8765119998498553,0.8765119998498554
4.600000000000001,322,689,57,25,1501.0,0.8462388286539327,0.8462388286539327
4.700000000000001,249,584,46,25,1320.0,0.8120098829948538,0.8120098829948537
4.800000000000001,198,521,34,25,1252.0,0.7809852052170303,0.7809852052170305
4.900000000000001,162,455,26,25,1133.0,0.7416904671704643,0.741690467170464
5.000000000000002,144,412,25,25,1018.0,0.7152565620821995,0.7231746027839261
5.100000000000001,139,386,24,25,893.0,0.711536976184855,0.7308491550621785
5.200000000000001,131,365,22,25,843.0,0.6957876327729672,0.722048811587761
5.300000000000002,123,338,21,25,732.0,0.6801903815731742,0.7134063780482952
5.400000000000002,120,310,21,25,630.0,0.6647766808989822,0.7099634148812065
5.500000000000002,116,288,21,25,593.0,0.6403507991679003,0.699544889492335
5.600000000000001,104,262,18,25,526.0,0.6455459179832073,0.6826158762208125
5.700000000000002,100,244,17,25,488.0,0.6413355380174046,0.6831657299961502
5.8000000000000025,98,230,18,25,442.0,0.6805736439479145,0.6805736439479144
5.900000000000002,91,213,17,25,396.0,0.6480303555189889,0.670687992833225
6.000000000000002,83,192,14,25,316.0,0.6739652510699577,0.6739652510699579
6.100000000000002,78,173,15,25,272.0,0.6647106792844671,0.6647106792844673
6.200000000000003,73,156,14,25,216.0,0.6493580307559109,0.6493580307559109
6.3000000000000025,69,146,14,25,205.0,0.6186482340303221,0.6186482340303219
6.400000000000002,62,132,12,24,184.0,0.5838994298811799,0.5838994298811799
6.500000000000003,60,121,12,24,146.0,0.5910235318486549,0.5910235318486549
6.600000000000003,56,110,11,24,122.0,0.5863105852409244,0.5863105852409244
6.700000000000003,47,91,8,24,73.0,0.5955498486024308,0.595549848602431
6.8000000000000025,43,76,8,16,47.0,0.5705494667298543,0.5705494667298543
6.900000000000003,39,63,8,16,30.0,0.5286961445799184,0.5286961445799184
7.0000000000000036,38,53,8,16,20.0,0.5467967555980734,0.5503564703039784
7.100000000000003,36,44,8,15,13.0,0.5758199751096406,0.5756033097844471
7.200000000000003,32,35,7,13,7.0,0.6295053829397477,0.6295053829397478
7.300000000000003,30,30,8,12,6.0,0.6044909943790636,0.6044909943790636
7.400000000000004,21,21,5,9,5.0,0.5670188603072287,0.5670188603072289
7.5000000000000036,19,17,5,7,2.0,0.6604247215892315,0.6604247215892315
7.600000000000003,16,14,4,7,1.0,0.576766669499181,0.5896404958181739
7.700000000000004,12,10,3,7,0.0,0.5004761246586688,0.5004761246586688
7.800000000000004,12,9,3,7,0.0,0.5968843307496204,0.5968843307496204
7.900000000000004,6,5,1,6,0.0,0.3011980616967517,0.30119806169675145
8.000000000000004,5,4,1,5,0.0,0.22016863117160793,0.22016863117160793
