threshold,num_nodes,num_edges,num_components,size_largest_component,num_triangles,modularity_greedy,modularity_louvain
-8.100000000000007,2,1,1,2,0.0,0.0,-0.5
-8.000000000000007,2,1,1,2,0.0,0.0,-0.5
-7.9000000000000075,4,3,1,4,0.0,2.220446049250313e-16,-0.3333504733344842
-7.800000000000008,4,3,1,4,0.0,2.220446049250313e-16,-0.3333504733344842
-7.700000000000008,4,3,1,4,0.0,2.220446049250313e-16,-0.3333504733344842
-7.6000000000000085,4,3,1,4,0.0,2.220446049250313e-16,-0.3333504733344842
-7.500000000000009,4,3,1,4,0.0,2.220446049250313e-16,-0.3333504733344842
-7.400000000000009,4,3,1,4,0.0,2.220446049250313e-16,-0.3333504733344842
-7.30000000000001,4,3,1,4,0.0,2.220446049250313e-16,-0.3333504733344842
-7.20000000000001,4,3,1,4,0.0,2.220446049250313e-16,-0.3333504733344842
-7.10000000000001,7,5,2,4,0.0,0.46711753673759326,-0.18339343959026735
-7.000000000000011,10,7,3,5,0.0,0.5618699609280144,-0.1264853199295995
-6.900000000000011,13,11,3,6,0.0,0.5760202710437261,-0.11140776108027133
-6.800000000000011,26,25,3,18,0.0,0.4690551443223855,-0.13505181204862984
-6.700000000000012,43,42,3,31,0.0,0.4576548415427158,-0.13735983947839064
-6.600000000000012,45,45,3,33,0.0,0.4615554258092669,-0.13627684063178436
-6.500000000000012,71,73,2,54,0.0,0.4429731692805828,-0.13469875934550785
-6.400000000000013,110,144,1,110,0.0,0.4661284648580503,-0.08587108180232061
-6.300000000000013,149,269,2,147,0.0,0.4153524324914639,-0.056604430329814236
-6.2000000000000135,204,478,3,200,0.0,0.28066621358581995,-0.057610856892186896
-6.100000000000014,247,599,2,244,0.0,0.2715218157922982,-0.056119986341607565
-6.000000000000014,272,720,2,269,0.0,0.21217538458941462,-0.052260058913610546
-5.900000000000015,348,974,3,342,0.0,0.2507389674585267,-0.04587360341775517
-5.800000000000015,389,1267,3,380,0.0,0.2094883027838106,-0.04059416766959743
-5.700000000000015,442,1564,3,426,0.0,0.20799177361281243,-0.03644663079135873
-5.600000000000016,479,1842,5,457,0.0,0.21800282853510453,-0.22555945101026686
-5.500000000000016,556,2135,2,548,0.0,0.23333343401464704,-0.16865753332556596
-5.400000000000016,632,2502,5,615,7.0,0.23153083881685274,-0.029389588149692204
-5.300000000000017,744,3034,7,716,15.0,0.23668609794855505,-0.2242137707273437
-5.200000000000017,933,3777,6,907,39.0,0.2639751298426364,-0.2188363709269522
-5.100000000000017,1079,4682,6,1050,97.0,0.25496375446058267,-0.20873960658003274
-5.000000000000018,1224,5589,7,1186,236.0,0.3000952557335258,-0.2249024224992209
-4.900000000000018,1380,6651,10,1323,486.0,0.2948948840408605,-0.21097125246344398
-4.8000000000000185,1559,7894,11,1498,949.0,0.31351487480317153,-0.21702489337432335
-4.700000000000019,1772,9268,16,1687,1988.0,0.3117776975832586,-0.20943299791912365
-4.600000000000019,2023,10934,19,1898,3018.0,0.30070085083411946,-0.20566928043972144
-4.5000000000000195,2242,12822,32,2049,4739.0,0.31943790646768006,-0.2060704156852984
-4.40000000000002,2526,15125,28,2291,7468.0,0.32694477744048334,-0.20938948616163788
-4.30000000000002,2886,18183,41,2543,12221.0,0.33274026567567266,-0.20727609674984165
-4.200000000000021,3273,21936,49,2790,18394.0,0.3596103336909806,-0.20865967720382875
-4.100000000000021,3392,23401,54,2937,21325.0,0.3440016169518646,-0.20591901492212197
-4.000000000000021,3392,23401,54,2937,21325.0,0.3440016169518646,-0.21980056102728923
