threshold,num_nodes,num_edges,num_components,size_largest_component,num_triangles,modularity_greedy
0.01,21,17,5,9,0,0.632382882
0.0101,22,18,5,10,0,0.62257707
0.0102,22,18,5,10,0,0.62257707
0.0103,23,19,5,11,0,0.660337088
0.0104,23,19,5,11,0,0.660337088
0.0105,26,23,5,11,0,0.68571975
0.0106,26,23,5,11,0,0.68571975
0.0107,26,23,5,11,0,0.68571975
0.0108,26,23,5,11,0,0.68571975
0.0109,26,23,5,11,0,0.68571975
0.011,26,23,5,11,0,0.68571975
0.0111,29,25,6,11,0,0.729438486
0.0112,29,26,6,11,0,0.688364895
0.0113,29,26,6,11,0,0.688364895
0.0114,29,26,6,11,0,0.688364895
0.0115,29,26,6,11,0,0.688364895
0.0116,29,26,6,11,0,0.688364895
0.0117,29,26,6,11,0,0.688364895
0.0118,29,26,6,11,0,0.688364895
0.0119,29,26,6,11,0,0.688364895
0.012,30,27,6,12,0,0.721061615
0.0121,30,27,6,12,0,0.721061615
0.0122,30,27,6,12,0,0.721061615
0.0123,30,27,6,12,0,0.721061615
0.0124,30,27,6,12,0,0.721061615
0.0125,30,27,6,12,0,0.721061615
0.0126,30,27,6,12,0,0.721061615
0.0127,30,27,6,12,0,0.721061615
0.0128,30,27,6,12,0,0.721061615
0.0129,30,27,6,12,0,0.721061615
0.013,30,27,6,12,0,0.721061615
0.0131,31,28,6,12,0,0.739879014
0.0132,37,33,7,13,0,0.7730811
0.0133,37,33,7,13,0,0.7730811
0.0134,37,33,7,13,0,0.7730811
0.0135,38,35,7,13,0,0.772299453
0.0136,38,35,7,13,0,0.772299453
0.0137,38,35,7,13,0,0.772299453
0.0138,41,37,8,13,0,0.785464652
0.0139,41,37,8,13,0,0.785464652
0.014,41,37,8,13,0,0.785464652
0.0141,43,39,8,14,0,0.793734833
0.0142,44,40,8,15,0,0.787859067
0.0143,44,40,8,15,0,0.787859067
0.0144,44,41,8,15,0,0.780671202
0.0145,44,41,8,15,0,0.780671202
0.0146,44,41,8,15,0,0.780671202
0.0147,46,43,8,17,0,0.787670713
0.0148,47,44,8,17,0,0.790569595
0.0149,49,47,8,17,0,0.765108895
0.015,50,48,8,18,0,0.763471072
0.0151,50,49,8,18,0,0.723553767
0.0152,53,52,8,18,0,0.74430425
0.0153,56,54,9,19,0,0.768232952
0.0154,57,56,9,19,0,0.751385922
0.0155,64,62,10,22,0,0.785412478
0.0156,64,62,10,22,0,0.785412478
0.0157,64,62,10,22,0,0.785412478
0.0158,64,62,10,22,0,0.785412478
0.0159,64,62,10,22,0,0.785412478
0.016,64,62,10,22,0,0.785412478
0.0161,64,62,10,22,0,0.785412478
0.0162,64,62,10,22,0,0.785412478
0.0163,64,62,10,22,0,0.785412478
0.0164,64,62,10,22,0,0.785412478
0.0165,65,63,10,22,0,0.787625609
0.0166,65,63,10,22,0,0.787625609
0.0167,65,63,10,22,0,0.787625609
0.0168,65,63,10,22,0,0.787625609
0.0169,65,63,10,22,0,0.787625609
0.017,65,63,10,22,0,0.787625609
0.0171,67,65,10,22,0,0.796956733
0.0172,67,65,10,22,0,0.796956733
0.0173,67,65,10,22,0,0.796956733
0.0174,67,65,10,22,0,0.796956733
0.0175,68,66,10,22,0,0.798209534
0.0176,68,66,10,22,0,0.798209534
0.0177,68,66,10,22,0,0.798209534
0.0178,68,66,10,22,0,0.798209534
0.0179,68,67,9,22,0,0.798982524
0.018,68,67,9,22,0,0.798982524
0.0181,68,67,9,22,0,0.798982524
0.0182,69,68,9,23,0,0.79632239
0.0183,73,71,10,24,0,0.800666813
0.0184,73,71,10,24,0,0.800666813
0.0185,73,71,10,24,0,0.800666813
0.0186,77,73,12,24,0,0.812889078
0.0187,77,73,12,24,0,0.812889078
0.0188,79,74,13,24,0,0.81856223
0.0189,79,74,13,24,0,0.81856223
0.019,79,75,13,24,0,0.819145748
0.0191,79,75,13,24,0,0.819145748
0.0192,79,75,13,24,0,0.819145748
0.0193,83,78,14,24,0,0.831870488
0.0194,83,78,14,24,0,0.831870488
0.0195,85,80,15,24,0,0.838274662
0.0196,90,85,15,26,0,0.84507612
0.0197,97,90,17,27,0,0.85623109
0.0198,97,90,17,27,0,0.85623109
0.0199,97,90,17,27,0,0.85623109
0.02,97,90,17,27,0,0.85623109
0.0201,97,90,17,27,0,0.85623109
0.0202,97,90,17,27,0,0.85623109
0.0203,97,90,17,27,0,0.85623109
0.0204,100,92,18,27,0,0.860960203
0.0205,102,94,18,28,0,0.860438939
0.0206,102,94,18,28,0,0.860438939
0.0207,105,96,19,28,0,0.864686759
0.0208,105,96,19,28,0,0.864686759
0.0209,105,96,19,28,0,0.864686759
0.021,105,97,19,28,0,0.862583647
0.0211,107,98,20,28,0,0.865780113
0.0212,107,98,20,28,0,0.865780113
0.0213,107,98,20,28,0,0.865780113
0.0214,110,101,20,28,0,0.873068417
0.0215,129,119,24,30,0,0.893658564
0.0216,133,122,25,31,0,0.89359417
0.0217,143,132,28,31,0,0.906271437
0.0218,143,132,28,31,0,0.906271437
0.0219,149,140,29,31,0,0.911027443
0.022,149,140,29,31,0,0.911027443
0.0221,150,141,29,31,0,0.912236877
0.0222,150,141,29,31,0,0.912236877
0.0223,151,144,29,31,0,0.913705863
0.0224,151,144,29,31,0,0.913705863
0.0225,151,144,29,31,0,0.913705863
0.0226,152,145,29,31,0,0.914843047
0.0227,152,145,29,31,0,0.914843047
0.0228,152,145,29,31,0,0.914843047
0.0229,163,156,30,33,0,0.918398274
0.023,163,156,30,33,0,0.918398274
0.0231,164,158,30,34,0,0.918262819
0.0232,196,196,34,35,0,0.924956199
0.0233,203,204,34,35,0,0.92647226
0.0234,203,206,34,35,0,0.926547235
0.0235,206,210,34,35,0,0.926288579
0.0236,208,212,34,35,0,0.927070668
0.0237,208,214,33,35,0,0.928724687
0.0238,211,217,33,35,0,0.927109407
0.0239,217,226,33,35,0,0.930387659
0.024,231,245,37,36,0,0.925797038
0.0241,231,245,37,36,0,0.925797038
0.0242,233,250,37,36,0,0.925974378
0.0243,233,250,37,36,0,0.925974378
0.0244,233,250,37,36,0,0.925974378
0.0245,237,256,37,36,0,0.928012291
0.0246,237,256,37,36,0,0.928012291
0.0247,246,270,38,36,0,0.93121399
0.0248,247,271,38,36,0,0.931659262
0.0249,256,281,39,36,0,0.93280397
0.025,256,281,39,36,0,0.93280397
0.0251,260,285,39,36,0,0.932555049
0.0252,262,290,38,36,0,0.933420928
0.0253,265,296,38,37,0,0.931087761
0.0254,265,296,38,37,0,0.931087761
0.0255,265,296,38,37,0,0.931087761
0.0256,265,296,38,37,0,0.931087761
0.0257,265,297,38,37,0,0.931326013
0.0258,267,301,38,37,0,0.932647284
0.0259,267,301,38,37,0,0.932647284
0.026,267,301,38,37,0,0.932647284
0.0261,268,302,38,37,0,0.933157606
0.0262,268,303,38,37,0,0.933236585
0.0263,268,303,38,37,0,0.933236585
0.0264,268,303,38,37,0,0.933236585
0.0265,268,303,38,37,0,0.933236585
0.0266,275,320,37,37,0,0.934128189
0.0267,275,320,37,37,0,0.934128189
0.0268,277,321,38,37,0,0.934636104
0.0269,277,321,38,37,0,0.934636104
0.027,279,326,38,37,0,0.933390609
0.0271,280,328,38,37,0,0.933140638
0.0272,280,329,38,37,0,0.933352283
0.0273,281,330,38,37,0,0.93358172
0.0274,284,336,39,37,0,0.934138489
0.0275,284,337,39,37,0,0.934083524
0.0276,285,339,39,37,0,0.933937303
0.0277,285,340,39,37,0,0.934131494
0.0278,285,343,39,37,0,0.933659012
0.0279,286,344,39,37,0,0.93405657
0.028,287,345,39,37,0,0.934376015
0.0281,290,348,39,37,0,0.934839229
0.0282,291,349,39,37,0,0.93484834
0.0283,296,365,39,38,0,0.932907723
0.0284,299,370,39,38,0,0.933534778
0.0285,300,372,39,38,0,0.933014162
0.0286,300,373,39,38,0,0.932520413
0.0287,300,375,39,38,0,0.932017377
0.0288,302,377,40,38,0,0.932602971
0.0289,303,381,40,38,0,0.932979965
0.029,306,384,40,38,0,0.933163983
0.0291,309,390,40,38,0,0.932291321
0.0292,311,393,40,38,0,0.932603471
0.0293,325,416,42,38,0,0.931867119
0.0294,325,416,42,38,0,0.931867119
0.0295,329,425,42,38,0,0.929986976
0.0296,332,428,43,38,0,0.929918698
0.0297,335,431,44,38,0,0.930433415
0.0298,335,432,44,38,0,0.930602307
0.0299,336,433,44,38,0,0.930976865
0.03,336,433,44,38,0,0.930976865
0.0301,340,437,45,39,0,0.931030925
0.0302,342,439,45,39,0,0.931176824
0.0303,343,441,45,39,0,0.931030973
0.0304,343,442,45,39,0,0.930510426
0.0305,346,449,45,41,0,0.929500949
0.0306,346,449,45,41,0,0.929500949
0.0307,347,452,45,41,0,0.929826258
0.0308,349,454,45,41,0,0.930373644
0.0309,357,462,47,42,0,0.931408084
0.031,363,472,48,42,0,0.931064574
0.0311,366,484,48,42,0,0.930047205
0.0312,366,485,48,42,0,0.929590235
0.0313,367,486,48,42,0,0.929706465
0.0314,367,487,48,42,0,0.929808435
0.0315,367,487,48,42,0,0.929808435
0.0316,369,494,49,42,0,0.929183921
0.0317,371,496,49,42,0,0.929425331
0.0318,371,497,49,42,0,0.929656216
0.0319,371,498,49,42,0,0.92972645
0.032,371,498,49,42,0,0.92972645
0.0321,371,498,49,42,0,0.92972645
0.0322,371,499,49,42,0,0.929593887
0.0323,375,504,49,42,0,0.930186372
0.0324,375,505,49,42,0,0.930282882
0.0325,375,505,49,42,0,0.930282882
0.0326,377,507,49,42,0,0.930420672
0.0327,384,515,50,43,0,0.931638708
0.0328,387,519,51,44,0,0.93156539
0.0329,387,521,51,44,0,0.931801057
0.033,387,521,51,44,0,0.931801057
0.0331,387,522,51,44,0,0.931664684
0.0332,393,528,53,44,0,0.932158273
0.0333,396,530,54,44,0,0.932358375
0.0334,397,532,54,44,0,0.932461564
0.0335,403,547,54,44,0,0.93263159
0.0336,403,548,54,44,0,0.932234301
0.0337,403,549,54,44,0,0.93231744
0.0338,403,550,54,44,0,0.932523673
