threshold,num_nodes,num_edges,num_components,size_largest_component,num_triangles,modularity_greedy
-6.14000000000004,2,1,1,2,0.0,0.0
-6.13000000000004,2,1,1,2,0.0,0.0
-6.12000000000004,2,1,1,2,0.0,0.0
-6.11000000000004,2,1,1,2,0.0,0.0
-6.1000000000000405,2,1,1,2,0.0,0.0
-6.090000000000041,2,1,1,2,0.0,0.0
-6.080000000000041,2,1,1,2,0.0,0.0
-6.070000000000041,2,1,1,2,0.0,0.0
-6.060000000000041,4,2,2,2,0.0,0.4999796206746442
-6.050000000000042,4,2,2,2,0.0,0.4999796206746442
-6.040000000000042,4,2,2,2,0.0,0.4999796206746442
-6.030000000000042,4,2,2,2,0.0,0.4999796206746442
-6.020000000000042,4,2,2,2,0.0,0.4999796206746442
-6.010000000000042,4,2,2,2,0.0,0.4999796206746442
-6.000000000000043,5,3,2,3,0.0,0.4441836726167643
-5.990000000000043,5,3,2,3,0.0,0.4441836726167643
-5.980000000000043,5,3,2,3,0.0,0.4441836726167643
-5.970000000000043,5,3,2,3,0.0,0.4441836726167643
-5.9600000000000435,5,3,2,3,0.0,0.4441836726167643
-5.950000000000044,5,3,2,3,0.0,0.4441836726167643
-5.940000000000044,5,3,2,3,0.0,0.4441836726167643
-5.930000000000044,5,3,2,3,0.0,0.4441836726167643
-5.920000000000044,5,3,2,3,0.0,0.4441836726167643
-5.9100000000000446,5,3,2,3,0.0,0.4441836726167643
-5.900000000000045,5,3,2,3,0.0,0.4441836726167643
-5.890000000000045,5,3,2,3,0.0,0.4441836726167643
-5.880000000000045,5,3,2,3,0.0,0.4441836726167643
-5.870000000000045,5,3,2,3,0.0,0.4441836726167643
-5.860000000000046,6,4,2,4,0.0,0.40715986164123286
-5.850000000000046,6,4,2,4,0.0,0.40715986164123286
-5.840000000000046,6,4,2,4,0.0,0.40715986164123286
-5.830000000000046,6,4,2,4,0.0,0.40715986164123286
-5.8200000000000465,6,4,2,4,0.0,0.40715986164123286
-5.810000000000047,6,4,2,4,0.0,0.40715986164123286
-5.800000000000047,6,4,2,4,0.0,0.40715986164123286
-5.790000000000047,6,4,2,4,0.0,0.40715986164123286
-5.780000000000047,7,5,2,4,0.0,0.47865247357180823
-5.7700000000000475,7,5,2,4,0.0,0.47865247357180823
-5.760000000000048,10,7,3,4,0.0,0.6101863345370251
-5.750000000000048,10,7,3,4,0.0,0.6101863345370251
-5.740000000000048,10,8,2,8,0.0,0.4780625911941193
-5.730000000000048,10,8,2,8,0.0,0.4780625911941193
-5.720000000000049,10,8,2,8,0.0,0.4780625911941193
-5.710000000000049,10,8,2,8,0.0,0.4780625911941193
-5.700000000000049,12,9,3,8,0.0,0.5612919874061892
-5.690000000000049,13,10,3,9,0.0,0.5554144795497273
-5.6800000000000495,14,11,3,10,0.0,0.5749530775890054
-5.67000000000005,14,11,3,10,0.0,0.5749530775890054
-5.66000000000005,15,12,3,10,0.0,0.6077659760854706
-5.65000000000005,15,13,3,10,0.0,0.6058796473964505
-5.64000000000005,15,13,3,10,0.0,0.6058796473964505
-5.6300000000000505,15,13,3,10,0.0,0.6058796473964505
-5.620000000000051,15,14,3,10,0.0,0.5155714835381827
-5.610000000000051,16,15,3,11,0.0,0.5385026285421257
-5.600000000000051,16,15,3,11,0.0,0.5385026285421257
-5.590000000000051,16,15,3,11,0.0,0.5385026285421257
-5.580000000000052,16,15,3,11,0.0,0.5385026285421257
-5.570000000000052,17,16,3,11,0.0,0.5702363987070318
-5.560000000000052,19,18,3,12,0.0,0.6043151616121135
-5.550000000000052,20,19,3,12,0.0,0.6171059002859011
-5.540000000000052,20,19,3,12,0.0,0.6171059002859011
-5.530000000000053,23,22,3,14,0.0,0.6314583631134005
-5.520000000000053,23,23,3,14,0.0,0.6117831979599192
-5.510000000000053,24,24,3,15,0.0,0.6135887049954397
-5.500000000000053,26,27,3,16,0.0,0.5863647183318156
-5.4900000000000535,27,29,3,16,0.0,0.5711603236540862
-5.480000000000054,31,33,4,17,0.0,0.580467831404896
-5.470000000000054,33,34,5,17,0.0,0.5963446451317531
-5.460000000000054,36,37,5,19,0.0,0.608363774262577
-5.450000000000054,37,38,5,19,0.0,0.6143947205666143
-5.440000000000055,37,38,5,19,0.0,0.6143947205666143
-5.430000000000055,38,39,5,19,0.0,0.6225659762066303
-5.420000000000055,38,40,4,19,0.0,0.626141761981869
-5.410000000000055,42,43,5,21,0.0,0.6422247261542933
